title,publishedAt,duration,topic_categories,view_count,like_count,comment_count,tags,channel_title,playlist_name,playlist_ID,channel_ID,url
The Black Eyed Peas - I Gotta Feeling,2009-12-23,292,"['Electronic_music', 'Hip_hop_music', 'Pop_music']",660988145,3819576.0,132934.0,"['Black', 'Eyed', 'Peas', 'Interscope', 'Pop', 'HIP HOP', 'BLACK EYED PEAS', 'BLACK EYED PEAS GOTTA FEELING', 'GOTTA FEELING', 'GOTTA FEELING BLACK EYED PEAS', 'GOTTA FEELING remastered', 'GOTTA FEELING remastered video', 'GOTTA FEELING official music video', 'BLACK EYED PEAS remastered', 'BLACK EYED PEAS remastered videos', '#remastered', 'hd music videos', 'remastered music videos', 'BLACK EYED PEAS music video', 'BLACK EYED PEAS official music video hd', 'BLACK']",BlackEyedPeasVEVO,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCrwmu-gceGOmtZeuTsn7DlQ,uSD4vsh1zDA
Basshunter - Now You're Gone | Ministry of Sound,2007-11-22,183,"['Electronic_music', 'Pop_music']",308786249,1058964.0,57619.0,"['Basshunter', 'Now', ""You're"", 'Gone', 'All', 'Ever', 'Wanted', 'Boten', 'Anna', 'Electronic', 'Hard2beat', 'Records', 'DJ', 'Alex', 'remix', 'bassheads', 'music', ""Now You're Gone""]",Ministry of Sound,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UC8T81Q-rEobLa-YuQKj8L1A,IgFwiCApH7E
Haddaway - What Is Love,2014-06-18,241,"['Electronic_music', 'Pop_music']",240797814,2709036.0,81233.0,"['What Is Love (Musical Recording)', 'What Is Love (Composition)', 'Haddaway (Composer)', 'Music (TV Genre)', 'Haddaway']",CoconutMusicGermany,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCL4iryi83-C0TXxgmvzwrlw,HEXWRTEbj1I
"Usher - Yeah! ft. Lil Jon, Ludacris",2015-04-17,253,"['Hip_hop_music', 'Pop_music', 'Rhythm_and_blues', 'Soul_music']",808782786,5262078.0,103681.0,"['usher', 'usher yeah', 'yeah', 'yeah usher', 'lil jon', 'yeah yeah', 'ludacris', 'user', '50 cent', 'usher yeah remix', 'asher', 'akon', 'yeah!', 'usher songs', 'chris brown', 'ашер', 'yeah yeah yeah', 'yea', 'yeah yeah yeah song', 'yeah song', ""2000's music hits"", '4th of July songs', 'summer songs', 'party songs', 'sing along songs', 'Flo rida', 'tiktok', 'workout music', 'Sean Paul', 'scream usher', 'in da club', 'remastered', 'Superbowl halftime show', 'Rihanna super bowl', 'super bowl 2023', 'super', 'bowl']",UsherVEVO,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCU8hEdjK8u27TM7KA8JVIEw,GxBSyx85Kp8
Gnarls Barkley - Crazy,2009-02-11,182,['Pop_music'],129562225,1116763.0,20303.0,"['Gnarls', 'Barkley', 'Crazy', 'ipodanimebaby', 'lyrics', 'with', 'w/lyrics', 'w/', 'ipod', 'anime', 'baby', 'pic', 'crazy', 'picture', 'SUBSCRIBE!']",Oral Fixations,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCv0wVhCAwphIJbFnuUSFypw,Qe500eIK1oA
I Will Survive,2014-11-21,262,"['Christian_music', 'Pop_music', 'Soul_music']",147869126,1422098.0,6538.0,"['Gloria', 'Gaynor', 'Will', 'Survive']",Gloria Gaynor - Topic,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCeXpFNAbyg5V3z8oKx5EGyw,FHhZPp08s74
Manu Chao - Me Gustas Tu,2013-02-19,240,"['Music_of_Latin_America', 'Reggae']",236208636,2005532.0,35204.0,"['Manu', 'Chao', 'Infinita tristeza', 'La vacaloca', 'Homens', 'La marea', 'La chinita', 'Papito', 'Mr. Bobby', 'Le Rendez-vous', 'Trapped by Love', 'Mi vida', 'Denia', 'Me gustas tú', 'La primavera', 'Promiscuity', 'Eldorado 1997', 'Bixo', 'Próxima Estación: Esperanza', 'Manu Chao official', 'album complet', 'musique officiel', 'mano negra', 'clandestino', ""sibérie m'etait contéee"", 'musique internationale', 'international', 'la vida tombola', 'maradona', 'manu videos', 'manu chao me gustas tu', 'manu chao', 'me gustas tu', 'me gustas tu sped up']",Manu Chao,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCzGpxRavGnm6yym4Pt7B2sg,rs6Y4kZ8qtw
"Far East Movement ft. The Cataracs, DEV - Like A G6",2010-06-03,226,"['Electronic_music', 'Hip_hop_music', 'Pop_music']",270560257,1774349.0,112775.0,"['Far', 'East', 'Movement', 'Like', 'G6', 'Cherrytree', 'Interscope', 'Records', 'Pop', 'far east movement like a g6', 'far east movement vevo']",FarEastMovementVEVO,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCXbNQaEl83yiO7HVBjiJ7Uw,w4s6H4ku6ZY
Timbaland - If We Ever Meet Again ft. Katy Perry,2010-02-09,313,"['Hip_hop_music', 'Pop_music']",157284320,601127.0,26658.0,"['Timbaland', 'Blackground', 'Interscope', 'Pop', 'Timbaland Vevo', 'Vevo', 'Vevo Music', 'Hip Hop', 'Hip Hop Music']",TimbalandVEVO,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCrHeROKlt3iOzhZHRV2oYkg,KDKva-s_khY
Ke$ha - Take It Off,2010-08-10,223,['Pop_music'],153700852,1372503.0,63831.0,"['take it off billboard mix', 'Kesha', 'Ke$ha', 'ke$ha take it off', 'ke$ha live', 'Tik Tok', 'kesha take it off', 'take it off live', 'Warrior', 'Take It Off', 'pop', 'live 2015', 'take it off lyrics', 'lyrics', 'ke$ha official', 'kesha lyrics', 'official video', 'nightcore', 'ke$ha lyrics', 'Your Love Is My Drug', 'music video', 'Ke$haVevo', 'Crazy Kids', ""C'Mon"", 'Die Young', 'billboard radio mix', 'take it off billboard radio mix', 'take it off tiktok', 'Pop', 'RCA Records Label']",keshaVEVO,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UC9HnKwLco0wfmmHJT4KOjJw,edP0L6LQzZE
Klaas - Our Own Way,2010-06-07,186,"['Electronic_music', 'Music_of_Asia', 'Pop_music']",20196705,82203.0,2732.0,"['klaas', 'our', 'own', 'way', 'official', 'video', 'happy', 'music', 'dance', 'house', 'electro', 'guru', 'josh', 'new', 'single', 'clip', 'hd', 'dj', 'radio', 'playlist']",Happy Music,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCprhX_G7Ksas92zvcOKObEA,GILPX4XTRTA
Cascada - Everytime We Touch,2007-03-07,215,"['Electronic_music', 'Pop_music']",187745274,1262137.0,49952.0,"['cascada', 'everytime', 'every', 'time', 'we', 'touch', 'aatw', 'clubland', 'tv', 'Eurodance (Composition Type)', 'Music (TV Genre)', 'Everytime We Touch (Canonical Version)', 'Video Clip (Media Genre)']",SteveAATW,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCqZKc23a7IWL0cUp1nvoLFA,4G6QDNC4jPs
Diana King - Shy Guy,2013-11-08,224,"['Music_of_Latin_America', 'Pop_music', 'Reggae', 'Rhythm_and_blues']",48784185,340044.0,8436.0,"['Diana King Shy Guy', 'acoustic', 'Love Triangle', 'music', ""Ain't Nobody"", 'Diana King Lyrics', 'instrumental', 'vevo', 'Tenderness', 'Diana King', 'Diana King Live', 'official', 'download', 'karaoke', 'remix', 'lyrics', 'audio', 'official video', 'cover', 'Diana King Official', 'DianaKingVEVO', 'Shy Guy Lyrics', 'I Say A Little Prayer', 'Sony', 'music video', 'playlist', 'Mercy', 'La La La Lie', 'single', 'album', 'live', 'Diana King Shy Guy Live', 'R&B', 'Shy Guy', 'Work/Columbia']",DianaKingVEVO,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCnB1Sp1Y3bvfWVPtGt5FSfg,szjaHbjhauk
